timeindex,recessionindicator,unemploymentrate,effectivefederalfunds,spotoilbarrelprice,consumersentimentindex,housingbuildingpermits,RealGDPBillions2012Chained
1980Q4,0,7.4,15.85282609,36.33333333,72.06666667,2388,6817.903
1981Q1,0,7.433333333,16.59555556,38,68.26666667,2085,6951.495
1981Q2,0,7.4,17.78692308,37.33333333,73.93333333,1905,6899.98
1982Q4,0,10.66666667,9.283913043,33.85,72.46666667,2149,6806.857
1983Q1,0,10.36666667,8.657555556,29.65333333,75.26666667,2540,6896.561
1983Q2,0,10.13333333,8.802747253,30.53666667,91.53333333,2858,7053.5
1983Q3,0,9.366666667,9.458152174,31.56,91.2,2761,7194.504
1983Q4,0,8.533333333,9.430108696,29.83,91.53333333,2815,7344.597
1984Q1,0,7.866666667,9.688571429,30.19866667,99.5,3115,7488.167
1984Q2,0,7.433333333,10.55472527,30.36833333,96.56666667,2844,7617.547
1984Q3,0,7.433333333,11.39228261,29.10433333,98.86666667,2586,7690.985
1984Q4,0,7.3,9.2625,27.43066667,94.96666667,2574,7754.117
1985Q1,0,7.233333333,8.475111111,27.05,94.46666667,2871,7829.26
1985Q2,0,7.3,7.924395604,27.857,94.3,2793,7898.194
1985Q3,0,7.2,7.900978261,27.791,92.83333333,2919,8018.809
1985Q4,0,7.033333333,8.104456522,29.193,91.06666667,2914,8078.415
1986Q1,0,7.033333333,7.826888889,17.00166667,95.53333333,3095,8153.829
1986Q2,0,7.166666667,6.918461538,13.92,96.76666667,3323,8190.552
1986Q3,0,6.966666667,6.209456522,13.86,94.83333333,3235,8268.935
1986Q4,0,6.833333333,6.26673913,15.37833333,92.03333333,3261,8313.338
1987Q1,0,6.6,6.222555556,18.229,90.46666667,3415,8375.274
1987Q2,0,6.266666667,6.65,19.364,91.8,3078,8465.63
1987Q3,0,6,6.839565217,20.385,93.9,2993,8539.075
1987Q4,0,5.833333333,6.919673913,18.66966667,86.4,2883,8685.694
1988Q1,0,5.7,6.665934066,16.714,92.33333333,2929,8730.569
1988Q2,0,5.466666667,7.154945055,17.281,93.56666667,2949,8845.28
1988Q3,0,5.466666667,7.983478261,15.163,96.03333333,2957,8897.107
1988Q4,0,5.333333333,8.468478261,14.68033333,93,3091,9015.661
1989Q1,0,5.2,9.446444444,18.418,95.86666667,2843,9107.314
1989Q2,0,5.233333333,9.725714286,20.359,90.93333333,2740,9176.827
1989Q3,0,5.233333333,9.083586957,19.25333333,92.46666667,2796,9244.816
1989Q4,0,5.366666667,8.614456522,20.333,91.76666667,2922,9263.033
1990Q1,0,5.3,8.248,21.72233333,91.26666667,2864,9364.259
1990Q2,0,5.333333333,8.239340659,17.89666667,90.93333333,2406,9398.243
1991Q2,0,6.833333333,5.864065934,20.75266667,80.73333333,2268,9347.597
1991Q3,0,6.866666667,5.645217391,21.655,82.63333333,2347,9394.834
1991Q4,0,7.1,4.818478261,21.73666667,71.86666667,2436,9427.581
1992Q1,0,7.366666667,4.024285714,18.91033333,70.76666667,2741,9540.444
1992Q2,0,7.6,3.774065934,21.186,78.93333333,2641,9643.893
1992Q3,0,7.633333333,3.25923913,21.67033333,76.1,2681,9739.185
1992Q4,0,7.366666667,3.034891304,20.479,83.2,2906,9840.753
1993Q1,0,7.133333333,3.042333333,19.825,87.26666667,2823,9857.185
1993Q2,0,7.066666667,2.997252747,19.76,82.46666667,2765,9914.565
1993Q3,0,6.8,3.057717391,17.79633333,77.4,3005,9961.873
1993Q4,0,6.633333333,2.98826087,16.45133333,84.03333333,3357,10097.362
1994Q1,0,6.566666667,3.209333333,14.81333333,93,3255,10195.338
1994Q2,0,6.2,3.938021978,17.77666667,92.2,3261,10333.495
1994Q3,0,6,4.485434783,18.49666667,90.73333333,3151,10393.898
1994Q4,0,5.633333333,5.167934783,17.65666667,93.13333333,3142,10512.962
1995Q1,0,5.466666667,5.802777778,18.35666667,94.33333333,2797,10550.251
1995Q2,0,5.666666667,6.019120879,19.34333333,91.66666667,2865,10581.723
1995Q3,0,5.666666667,5.797173913,17.85333333,93.16666667,3143,10671.738
1995Q4,0,5.566666667,5.719456522,18.15666667,89.8,3203,10744.203
1996Q1,0,5.533333333,5.370989011,19.77,90.5,3244,10824.674
1996Q2,0,5.5,5.243956044,21.75666667,91.5,3293,11005.217
1996Q3,0,5.266666667,5.306195652,22.42333333,94.9,3172,11103.935
1996Q4,0,5.333333333,5.280869565,24.66666667,97.53333333,3056,11219.238
1997Q1,0,5.233333333,5.278444444,22.79,99.03333333,3147,11291.665
1997Q2,0,5,5.522197802,19.90666667,103.0333333,3157,11479.33
1997Q3,0,4.866666667,5.534673913,19.78333333,105.8333333,3202,11622.911
1997Q4,0,4.666666667,5.507391304,19.91666667,104.9666667,3271,11722.722
1998Q1,0,4.633333333,5.519333333,15.93,107.8333333,3511,11839.876
1998Q2,0,4.4,5.497472527,14.65333333,106.9333333,3470,11949.492
1998Q3,0,4.533333333,5.531630435,14.13,103.5,3564,12099.191
1998Q4,0,4.433333333,4.860543478,12.84,100.2,3782,12294.737
1999Q1,0,4.3,4.734555556,13.04666667,105.9,3789,12410.778
1999Q2,0,4.266666667,4.747692308,17.66,106.2333333,3757,12514.408
1999Q3,0,4.233333333,5.095543478,21.73666667,105.9,3717,12679.977
1999Q4,0,4.066666667,5.304021739,24.56333333,105.2666667,3698,12888.281
2000Q1,0,4.033333333,5.677692308,28.80666667,110.1333333,3771,12935.252
2000Q2,0,3.933333333,6.271978022,28.78333333,108.7666667,3530,13170.749
2000Q3,0,4,6.519456522,31.62333333,107.4666667,3514,13183.89
2000Q4,0,3.9,6.474891304,31.98,103.9333333,3612,13262.25
2001Q1,0,4.233333333,5.597,28.81,92.26666667,3725,13219.251
2001Q4,0,5.5,2.130434783,20.40333333,85.13333333,3665,13284.881
2002Q1,0,5.7,1.732888889,21.61,93.13333333,3975,13394.91
2002Q2,0,5.833333333,1.751538462,26.27,94.1,3888,13477.356
2002Q3,0,5.733333333,1.740869565,28.33,87.26666667,3990,13531.741
2002Q4,0,5.866666667,1.44423913,28.18,83.83333333,4173,13549.421
2003Q1,0,5.866666667,1.249666667,34.12,79.96666667,4132,13619.434
2003Q2,0,6.133333333,1.246703297,29.03666667,89.26666667,4241,13741.107
2003Q3,0,6.133333333,1.016847826,30.21333333,89.3,4532,13970.157
2003Q4,0,5.833333333,0.99673913,31.19,91.96666667,4628,14131.379
2004Q1,0,5.7,1.001868132,35.25666667,98,4751,14212.34
2004Q2,0,5.6,1.011318681,38.33,93.33333333,4907,14323.017
2004Q3,0,5.433333333,1.43076087,43.86,95.6,4815,14457.832
2004Q4,0,5.433333333,1.949891304,48.30666667,93.86666667,4778,14605.595
2005Q1,0,5.3,2.469,49.70666667,94.06666667,4864,14767.846
2005Q2,0,5.1,2.941758242,53.04333333,90.2,4981,14839.707
2005Q3,0,4.966666667,3.46,63.08,87.5,5236,14956.291
2005Q4,0,4.966666667,3.97826087,60.03333333,82.43333333,5133,15041.232
2006Q1,0,4.733333333,4.454111111,63.34666667,88.93333333,4883,15244.088
2006Q2,0,4.633333333,4.907582418,70.53,83.8,4339,15281.525
2006Q3,0,4.633333333,5.245326087,70.44333333,84.03333333,3807,15304.517
2006Q4,0,4.433333333,5.242934783,60.09333333,92.46666667,3536,15433.643
2007Q1,0,4.5,5.254555556,58.13,92.2,3457,15478.956
2007Q2,0,4.5,5.252417582,64.97,86.9,3095,15577.779
2007Q3,0,4.666666667,5.074347826,75.5,85.73333333,2749,15671.605
2007Q4,0,4.8,4.495652174,90.85,77.5,2358,15767.146
2009Q3,0,9.633333333,0.154347826,68.20333333,68.4,1457,15216.647
2009Q4,0,9.933333333,0.118369565,76.06666667,70.16666667,1463,15379.155
2010Q1,0,9.833333333,0.133888889,78.62666667,73.86666667,1550,15456.059
2010Q2,0,9.633333333,0.191978022,77.89,73.93333333,1336,15605.628
2010Q3,0,9.466666667,0.188804348,76.16666667,68.3,1217,15726.282
2010Q4,0,9.5,0.189565217,85.02666667,71.26666667,1273,15807.995
2011Q1,0,9.033333333,0.154555556,93.98,73.06666667,1198,15769.911
2011Q2,0,9.066666667,0.094615385,102.5533333,71.86666667,1227,15876.839
2011Q3,0,9,0.083586957,89.71,59.66666667,1269,15870.684
2011Q4,0,8.633333333,0.074347826,94.06333333,64.8,1346,16048.702
2012Q1,0,8.266666667,0.104175824,102.8933333,75.5,1437,16179.968
2012Q2,0,8.2,0.152307692,93.48,76.3,1480,16253.726
2012Q3,0,8.033333333,0.144347826,92.27,74.96666667,1601,16282.151
2012Q4,0,7.8,0.161195652,88.16,79.4,1718,16300.035
2013Q1,0,7.733333333,0.143666667,94.35333333,76.66666667,1812,16441.485
2013Q2,0,7.533333333,0.115824176,94.22333333,81.66666667,1871,16464.402
2013Q3,0,7.233333333,0.085217391,105.8233333,81.56666667,1879,16594.743
2013Q4,0,6.933333333,0.085543478,97.34333333,76.93333333,1867,16712.76
2014Q1,0,6.666666667,0.072222222,98.74666667,80.93333333,1847,16654.247
2014Q2,0,6.2,0.090989011,103.3466667,82.83333333,1896,16868.109
2014Q3,0,6.066666667,0.089130435,97.78,82.96666667,1960,17064.616
2014Q4,0,5.7,0.101304348,73.16,89.76666667,1975,17141.235
2015Q1,0,5.533333333,0.112888889,48.54,95.5,1948,17280.647
2015Q2,0,5.433333333,0.125604396,57.84666667,94.23333333,2086,17380.875
2015Q3,0,5.1,0.134782609,46.41666667,90.73333333,2129,17437.08
2015Q4,0,5.033333333,0.161086957,41.95,91.3,2172,17462.579
2016Q1,0,4.9,0.35978022,33.18333333,91.56666667,2183,17565.465
2016Q2,0,4.933333333,0.369340659,45.40666667,92.4,2245,17618.581
2016Q3,0,4.9,0.394891304,44.85,90.33333333,2217,17724.489
2016Q4,0,4.766666667,0.448152174,49.13666667,93.06666667,2363,17812.56
2017Q1,0,4.566666667,0.698888889,51.76666667,97.23333333,2442,17896.623
2017Q2,0,4.366666667,0.947362637,48.24,96.36666667,2412,17996.802
2017Q3,0,4.333333333,1.153695652,48.16333333,95.1,2447,18126.226
2017Q4,0,4.166666667,1.204673913,55.36666667,98.36666667,2575,18296.685
2018Q1,0,4.033333333,1.447,62.88666667,98.93333333,2596,18436.262
2018Q2,0,3.933333333,1.736923077,68.03333333,98.33333333,2590,18590.004
2018Q3,0,3.766666667,1.926195652,69.75666667,98.06666667,2557,18679.599
2018Q4,0,3.833333333,2.220108696,59.07666667,98.13333333,2502,18721.281
2019Q1,0,3.866666667,2.401777778,54.82666667,94.46666667,2442,18833.195
2019Q2,0,3.6,2.397362637,59.78333333,98.46666667,2477,18982.528
2019Q3,0,3.633333333,2.192173913,56.37,93.8,2641,19112.653
2019Q4,0,3.6,1.645652174,56.95666667,97.2,2802,19202.31
2020Q3,0,8.833333333,0.092608696,40.89333333,75.66666667,3169,18560.774
2020Q4,0,6.766666667,0.088804348,42.45333333,79.8,3529,18767.778
2021Q1,0,6.2,0.076888889,57.79,80.23333333,3607,19055.655
2021Q2,0,5.9,0.068241758,66.09,85.56666667,3348,19368.31
2021Q3,0,5.1,0.09,70.62333333,74.76666667,3139,19478.893
2021Q4,0,4.233333333,0.079456522,77.44666667,69.9,3308,19810.572
