timeindex,recessionindicator,unemploymentrate,effectivefederalfunds,spotoilbarrelprice,consumersentimentindex,housingbuildingpermits,RealGDPBillions2012Chained
1982Q1,1,8.83,14.207,31.3,66.5,1362,6799.233
1982Q2,1,9.43,14.514,34.82,66.2,1460,6830.251
1982Q3,1,9.9,11.013,34.58,66.7,1613,6804.139
1982Q4,0,10.67,9.284,33.85,72.5,2149,6806.857
1983Q1,0,10.37,8.658,29.65,75.3,2540,6896.561
1983Q2,0,10.13,8.803,30.54,91.5,2858,7053.5
1983Q3,0,9.37,9.458,31.56,91.2,2761,7194.504
1983Q4,0,8.53,9.43,29.83,91.5,2815,7344.597
1984Q1,0,7.87,9.689,30.2,99.5,3115,7488.167
1984Q2,0,7.43,10.555,30.37,96.6,2844,7617.547
1984Q3,0,7.43,11.392,29.1,98.9,2586,7690.985
1984Q4,0,7.3,9.263,27.43,95,2574,7754.117
1985Q1,0,7.23,8.475,27.05,94.5,2871,7829.26
1985Q2,0,7.3,7.924,27.86,94.3,2793,7898.194
1985Q3,0,7.2,7.901,27.79,92.8,2919,8018.809
1985Q4,0,7.03,8.104,29.19,91.1,2914,8078.415
1986Q1,0,7.03,7.827,17,95.5,3095,8153.829
1986Q2,0,7.17,6.918,13.92,96.8,3323,8190.552
1986Q3,0,6.97,6.209,13.86,94.8,3235,8268.935
1986Q4,0,6.83,6.267,15.38,92,3261,8313.338
1987Q1,0,6.6,6.223,18.23,90.5,3415,8375.274
1987Q2,0,6.27,6.65,19.36,91.8,3078,8465.63
1987Q3,0,6,6.84,20.39,93.9,2993,8539.075
1987Q4,0,5.83,6.92,18.67,86.4,2883,8685.694
1988Q1,0,5.7,6.666,16.71,92.3,2929,8730.569
1988Q2,0,5.47,7.155,17.28,93.6,2949,8845.28
1988Q3,0,5.47,7.983,15.16,96,2957,8897.107
1988Q4,0,5.33,8.468,14.68,93,3091,9015.661
1989Q1,0,5.2,9.446,18.42,95.9,2843,9107.314
1989Q2,0,5.23,9.726,20.36,90.9,2740,9176.827
1989Q3,0,5.23,9.084,19.25,92.5,2796,9244.816
1989Q4,0,5.37,8.614,20.33,91.8,2922,9263.033
1990Q1,0,5.3,8.248,21.72,91.3,2864,9364.259
1990Q2,0,5.33,8.239,17.9,90.9,2406,9398.243
1990Q3,1,5.7,8.16,26.5,79.1,2260,9404.494
1990Q4,1,6.13,7.743,31.85,65.1,2045,9318.876
1991Q1,1,6.6,6.43,21.78,75,1961,9275.276
1991Q2,0,6.83,5.864,20.75,80.7,2268,9347.597
1991Q3,0,6.87,5.645,21.66,82.6,2347,9394.834
1991Q4,0,7.1,4.818,21.74,71.9,2436,9427.581
1992Q1,0,7.37,4.024,18.91,70.8,2741,9540.444
1992Q2,0,7.6,3.774,21.19,78.9,2641,9643.893
1992Q3,0,7.63,3.259,21.67,76.1,2681,9739.185
1992Q4,0,7.37,3.035,20.48,83.2,2906,9840.753
1993Q1,0,7.13,3.042,19.83,87.3,2823,9857.185
1993Q2,0,7.07,2.997,19.76,82.5,2765,9914.565
1993Q3,0,6.8,3.058,17.8,77.4,3005,9961.873
1993Q4,0,6.63,2.988,16.45,84,3357,10097.362
1994Q1,0,6.57,3.209,14.81,93,3255,10195.338
1994Q2,0,6.2,3.938,17.78,92.2,3261,10333.495
1994Q3,0,6,4.485,18.5,90.7,3151,10393.898
1994Q4,0,5.63,5.168,17.66,93.1,3142,10512.962
1995Q1,0,5.47,5.803,18.36,94.3,2797,10550.251
1995Q2,0,5.67,6.019,19.34,91.7,2865,10581.723
1995Q3,0,5.67,5.797,17.85,93.2,3143,10671.738
1995Q4,0,5.57,5.719,18.16,89.8,3203,10744.203
1996Q1,0,5.53,5.371,19.77,90.5,3244,10824.674
1996Q2,0,5.5,5.244,21.76,91.5,3293,11005.217
1996Q3,0,5.27,5.306,22.42,94.9,3172,11103.935
1996Q4,0,5.33,5.281,24.67,97.5,3056,11219.238
1997Q1,0,5.23,5.278,22.79,99,3147,11291.665
1997Q2,0,5,5.522,19.91,103,3157,11479.33
1997Q3,0,4.87,5.535,19.78,105.8,3202,11622.911
1997Q4,0,4.67,5.507,19.92,105,3271,11722.722
1998Q1,0,4.63,5.519,15.93,107.8,3511,11839.876
1998Q2,0,4.4,5.497,14.65,106.9,3470,11949.492
1998Q3,0,4.53,5.532,14.13,103.5,3564,12099.191
1998Q4,0,4.43,4.861,12.84,100.2,3782,12294.737
1999Q1,0,4.3,4.735,13.05,105.9,3789,12410.778
1999Q2,0,4.27,4.748,17.66,106.2,3757,12514.408
1999Q3,0,4.23,5.096,21.74,105.9,3717,12679.977
1999Q4,0,4.07,5.304,24.56,105.3,3698,12888.281
2000Q1,0,4.03,5.678,28.81,110.1,3771,12935.252
2000Q2,0,3.93,6.272,28.78,108.8,3530,13170.749
2000Q3,0,4,6.519,31.62,107.5,3514,13183.89
2000Q4,0,3.9,6.475,31.98,103.9,3612,13262.25
2001Q1,0,4.23,5.597,28.81,92.3,3725,13219.251
2001Q2,1,4.4,4.327,27.88,91,3751,13301.394
2001Q3,1,4.83,3.502,26.6,88.6,3668,13248.142
2001Q4,0,5.5,2.13,20.4,85.1,3665,13284.881
2002Q1,0,5.7,1.733,21.61,93.1,3975,13394.91
2002Q2,0,5.83,1.752,26.27,94.1,3888,13477.356
2002Q3,0,5.73,1.741,28.33,87.3,3990,13531.741
2002Q4,0,5.87,1.444,28.18,83.8,4173,13549.421
2003Q1,0,5.87,1.25,34.12,80,4132,13619.434
2003Q2,0,6.13,1.247,29.04,89.3,4241,13741.107
2003Q3,0,6.13,1.017,30.21,89.3,4532,13970.157
2003Q4,0,5.83,0.997,31.19,92,4628,14131.379
2004Q1,0,5.7,1.002,35.26,98,4751,14212.34
2004Q2,0,5.6,1.011,38.33,93.3,4907,14323.017
2004Q3,0,5.43,1.431,43.86,95.6,4815,14457.832
2004Q4,0,5.43,1.95,48.31,93.9,4778,14605.595
2005Q1,0,5.3,2.469,49.71,94.1,4864,14767.846
2005Q2,0,5.1,2.942,53.04,90.2,4981,14839.707
2005Q3,0,4.97,3.46,63.08,87.5,5236,14956.291
2005Q4,0,4.97,3.978,60.03,82.4,5133,15041.232
2006Q1,0,4.73,4.454,63.35,88.9,4883,15244.088
2006Q2,0,4.63,4.908,70.53,83.8,4339,15281.525
2006Q3,0,4.63,5.245,70.44,84,3807,15304.517
2006Q4,0,4.43,5.243,60.09,92.5,3536,15433.643
2007Q1,0,4.5,5.255,58.13,92.2,3457,15478.956
2007Q2,0,4.5,5.252,64.97,86.9,3095,15577.779
2007Q3,0,4.67,5.074,75.5,85.7,2749,15671.605
2007Q4,0,4.8,4.496,90.85,77.5,2358,15767.146
2008Q1,1,5,3.181,97.95,72.9,2014,15702.906
2008Q2,1,5.33,2.085,123.96,59.6,1899,15792.773
2008Q3,1,6,1.941,117.98,64.8,1643,15709.562
2008Q4,1,6.87,0.505,58.37,57.7,1253,15366.607
2009Q1,1,8.27,0.184,42.96,58.3,1075,15187.475
2009Q2,1,9.3,0.178,59.54,68.2,1280,15161.772
2009Q3,0,9.63,0.154,68.2,68.4,1457,15216.647
2009Q4,0,9.93,0.118,76.07,70.2,1463,15379.155
2010Q1,0,9.83,0.134,78.63,73.9,1550,15456.059
2010Q2,0,9.63,0.192,77.89,73.9,1336,15605.628
2010Q3,0,9.47,0.189,76.17,68.3,1217,15726.282
2010Q4,0,9.5,0.19,85.03,71.3,1273,15807.995
2011Q1,0,9.03,0.155,93.98,73.1,1198,15769.911
2011Q2,0,9.07,0.095,102.55,71.9,1227,15876.839
2011Q3,0,9,0.084,89.71,59.7,1269,15870.684
2011Q4,0,8.63,0.074,94.06,64.8,1346,16048.702
2012Q1,0,8.27,0.104,102.89,75.5,1437,16179.968
2012Q2,0,8.2,0.152,93.48,76.3,1480,16253.726
2012Q3,0,8.03,0.144,92.27,75,1601,16282.151
2012Q4,0,7.8,0.161,88.16,79.4,1718,16300.035
2013Q1,0,7.73,0.144,94.35,76.7,1812,16441.485
2013Q2,0,7.53,0.116,94.22,81.7,1871,16464.402
2013Q3,0,7.23,0.085,105.82,81.6,1879,16594.743
2013Q4,0,6.93,0.086,97.34,76.9,1867,16712.76
2014Q1,0,6.67,0.072,98.75,80.9,1847,16654.247
2014Q2,0,6.2,0.091,103.35,82.8,1896,16868.109
2014Q3,0,6.07,0.089,97.78,83,1960,17064.616
2014Q4,0,5.7,0.101,73.16,89.8,1975,17141.235
2015Q1,0,5.53,0.113,48.54,95.5,1948,17280.647
2015Q2,0,5.43,0.126,57.85,94.2,2086,17380.875
2015Q3,0,5.1,0.135,46.42,90.7,2129,17437.08
2015Q4,0,5.03,0.161,41.95,91.3,2172,17462.579
2016Q1,0,4.9,0.36,33.18,91.6,2183,17565.465
2016Q2,0,4.93,0.369,45.41,92.4,2245,17618.581
2016Q3,0,4.9,0.395,44.85,90.3,2217,17724.489
2016Q4,0,4.77,0.448,49.14,93.1,2363,17812.56
2017Q1,0,4.57,0.699,51.77,97.2,2442,17896.623
2017Q2,0,4.37,0.947,48.24,96.4,2412,17996.802
2017Q3,0,4.33,1.154,48.16,95.1,2447,18126.226
2017Q4,0,4.17,1.205,55.37,98.4,2575,18296.685
2018Q1,0,4.03,1.447,62.89,98.9,2596,18436.262
2018Q2,0,3.93,1.737,68.03,98.3,2590,18590.004
2018Q3,0,3.77,1.926,69.76,98.1,2557,18679.599
2018Q4,0,3.83,2.22,59.08,98.1,2502,18721.281
2019Q1,0,3.87,2.402,54.83,94.5,2442,18833.195
2019Q2,0,3.6,2.397,59.78,98.5,2477,18982.528
2019Q3,0,3.63,2.192,56.37,93.8,2641,19112.653
2019Q4,0,3.6,1.646,56.96,97.2,2802,19202.31
2020Q1,1,3.8,1.255,45.76,96.6,2884,18951.992
2020Q2,1,12.97,0.059,27.81,74.1,2276,17258.205
2020Q3,0,8.83,0.093,40.89,75.7,3169,18560.774
2020Q4,0,6.77,0.089,42.45,79.8,3529,18767.778
2021Q1,0,6.2,0.077,57.79,80.2,3607,19055.655
2021Q2,0,5.9,0.068,66.09,85.6,3348,19368.31
2021Q3,0,5.1,0.09,70.62,74.8,3139,19478.893
2021Q4,0,4.23,0.079,77.45,69.9,3308,19810.572
